SKU,Description,CPT,JHB,DBN,"Total Stock","Dealer Price","Retail Price",Manufacturer,"Image URL"
T50L,"Cable Ties T50L 370 x 4.8mm",33,477,21,531,55,75,"Locally Sourced",https://scoop.co.za/download/marketing/images/T50L.jpg
T50R,"Cable Ties T50R 200 x 4.8mm",0,0,7,7,30,40,"Locally Sourced",https://scoop.co.za/download/marketing/images/T50R.jpg
TC-100,"Linkbasic 100m Shielded UV Protected Cat5e Cable",82,187,18,287,895,1225,Linkbasic,https://scoop.co.za/download/marketing/images/TC-100.jpg
TC-100C,"Scoop 100m Box Cat5e Outdoor FTP CCA Cable",316,102,4,422,275,375,Scoop,https://scoop.co.za/download/marketing/images/TC-100C.jpg
TC-305,"Linkbasic 305m Shielded UV Protected Cat5e Cable",116,141,4,261,2675,3625,Linkbasic,https://scoop.co.za/download/marketing/images/TC-305.jpg
TC-305C,"Scoop 305m Box Cat5e Outdoor FTP CCA Cable",146,419,35,600,825,1125,Scoop,https://scoop.co.za/download/marketing/images/TC-305C.jpg
TC-500,"Linkbasic 500m Shielded UV Protected Cat5e Cable",117,11,2,130,4350,5895,Linkbasic,https://scoop.co.za/download/marketing/images/TC-500.jpg
TC-500C,"Scoop 500m Drum Cat5e Outdoor FTP CCA Cable",41,165,17,223,1295,1750,Scoop,https://scoop.co.za/download/marketing/images/TC-500C.jpg
TC-6100,"Linkbasic 100m Shielded UV Protected Cat6 Cable",56,21,0,77,1150,1595,Linkbasic,https://scoop.co.za/download/marketing/images/TC-6100.jpg
TC-6305,"Linkbasic 305m Shielded UV Protected Cat6 Cable",23,19,9,51,3295,4475,Linkbasic,https://scoop.co.za/download/marketing/images/TC-6305.jpg
TC-6305C,"Scoop 305m Box CAT6 Outdoor FTP CCA Cable",81,134,26,241,950,1285,Scoop,https://scoop.co.za/download/marketing/images/TC-6305C.jpg
TC-6500,"Linkbasic 500m Shielded UV Protected Cat6 Cable",33,59,6,98,5375,7275,Linkbasic,https://scoop.co.za/download/marketing/images/TC-6500.jpg
