SKU,Description,CPT,JHB,DBN,"Total Stock","Dealer Price","Retail Price",Manufacturer,"Image URL"
TUB-AU6,"50mm Aluminium Pole / Mast 6M",0,0,1,1,1495,2025,"Locally Sourced",https://scoop.co.za/download/marketing/images/TUB-AU6.jpg
TUBE-1M,"Galvanised 50mm Pole / Mast 1M",6,9,2,17,115,165,"Locally Sourced",https://scoop.co.za/download/marketing/images/TUBE-1M.jpg
TUBE-2M,"Galvanised 50mm Pole / Mast 2M",64,15,4,83,225,315,"Locally Sourced",https://scoop.co.za/download/marketing/images/TUBE-2M.jpg
TUBE-3M,"Galvanised 50mm Pole / Mast 3M",15,64,33,112,350,475,"Locally Sourced",https://scoop.co.za/download/marketing/images/TUBE-3M.jpg
TUBE-6M,"Galvanised 50mm Pole / Mast 6M",3,58,25,86,695,950,"Locally Sourced",https://scoop.co.za/download/marketing/images/TUBE-6M.jpg
U-AIRWIRE,"Ubiquiti UniFi AirWire WiFi 7 Client Device",0,0,0,0,3495,4775,Ubiquiti,https://scoop.co.za/download/marketing/images/U-AIRWIRE.jpg
U5G-MAX,"Ubiquiti UniFi 5G Max Modem with PoE input and 2.5Gbps Ethernet ",0,0,0,0,6950,9425,Ubiquiti,https://scoop.co.za/download/marketing/images/U5G-MAX.jpg
U6-EXT,"Ubiquiti UniFi6 Dual Band WiFi 6 Range Extender ",4,9,2,15,2825,3825,Ubiquiti,https://scoop.co.za/download/marketing/images/U6-EXT.jpg
U6-MESH,"Ubiquiti UniFi6 Mesh Indoor / Outdoor  WiFi 6 AP ",9,7,2,18,3325,4475,Ubiquiti,https://scoop.co.za/download/marketing/images/U6-MESH.jpg
U6-MESH-PRO,"Ubiquiti UniFi6 Mesh Pro Indoor / Outdoor WiFi 6 AP ",29,33,12,74,3495,4775,Ubiquiti,https://scoop.co.za/download/marketing/images/U6-MESH-PRO.jpg
U6-PRO,"Ubiquiti UniFi6 Pro Dual Band WiFi 6 AP ",70,116,30,216,2850,3850,Ubiquiti,https://scoop.co.za/download/marketing/images/U6-PRO.jpg
U7-IW,"Ubiquiti UniFi Dual Band WiFi 7 2.5G PoE Out In-Wall AP ",51,8,12,71,2595,3525,Ubiquiti,https://scoop.co.za/download/marketing/images/U7-IW.jpg
U7-LITE,"Ubiquiti UniFi WiFi 7 Lite Dual Band AP ",711,890,151,1752,1750,2375,Ubiquiti,https://scoop.co.za/download/marketing/images/U7-LITE.jpg
U7-LR,"Ubiquiti UniFi WiFi 7 Long Range Dual Band AP ",609,424,40,1073,2795,3795,Ubiquiti,https://scoop.co.za/download/marketing/images/U7-LR.jpg
U7-OUT,"Ubiquiti UniFi WiFi 7 Outdoor Dual Band AP ",122,108,14,244,3425,4650,Ubiquiti,https://scoop.co.za/download/marketing/images/U7-OUT.jpg
U7-PRO,"Ubiquiti UniFi WiFi 7 Pro Tri-Band AP ",277,352,77,706,3195,4325,Ubiquiti,https://scoop.co.za/download/marketing/images/U7-PRO.jpg
U7-PRO-5,"Ubiquiti UniFi WiFi 7 Pro Tri-Band AP 5pk ",0,1,4,5,14995,20295,Ubiquiti,https://scoop.co.za/download/marketing/images/U7-PRO-5.jpg
U7-PRO-IW,"Ubiquiti UniFi WiFi 7 Tri-Band Pro In-Wall AP ",40,7,4,51,3450,4675,Ubiquiti,https://scoop.co.za/download/marketing/images/U7-PRO-IW.jpg
U7-PRO-MAX,"Ubiquiti UniFi WiFi 7 Pro Max Tri-Band AP  ",0,0,0,0,5195,6995,Ubiquiti,https://scoop.co.za/download/marketing/images/U7-PRO-MAX.jpg
U7-PRO-OUT,"Ubiquiti UniFi WiFi 7 Outdoor Pro Dual Band AP  ",20,75,6,101,4825,6525,Ubiquiti,https://scoop.co.za/download/marketing/images/U7-PRO-OUT.jpg
U7-PRO-XG-B,"Ubiquiti UniFi WiFi 7 Pro XG Tri-Band Black AP ",0,0,1,1,3695,4995,Ubiquiti,https://scoop.co.za/download/marketing/images/U7-PRO-XG-B.jpg
U7-PRO-XG-IW,"Ubiquiti UniFi WiFi 7 Tri Band Pro XG 10G In-Wall AP ",3,7,1,11,4775,6495,Ubiquiti,https://scoop.co.za/download/marketing/images/U7-PRO-XG-IW.jpg
U7-PRO-XG-W,"Ubiquiti UniFi WiFi 7 Pro XG Tri-Band White AP ",28,53,11,92,3695,4995,Ubiquiti,https://scoop.co.za/download/marketing/images/U7-PRO-XG-W.jpg
U7-PRO-XGS-B,"Ubiquiti UniFi WiFi 7 Pro XGS Tri-Band Black AP ",7,6,2,15,5495,7450,Ubiquiti,https://scoop.co.za/download/marketing/images/U7-PRO-XGS-B.jpg
U7-PRO-XGS-W,"Ubiquiti UniFi WiFi 7 Pro XGS Tri-Band White AP ",32,74,6,112,5495,7450,Ubiquiti,https://scoop.co.za/download/marketing/images/U7-PRO-XGS-W.jpg
UA-G3-W,"Ubiquiti UniFi Access Reader ",7,26,2,35,2395,3250,Ubiquiti,https://scoop.co.za/download/marketing/images/UA-G3-W.jpg
UA-G3FLEX-B,"Ubiquiti UniFi Access Reader Flex Black ",1,1,0,2,3125,4225,Ubiquiti,https://scoop.co.za/download/marketing/images/UA-G3FLEX-B.jpg
UA-G3FLEX-W,"Ubiquiti UniFi Access Reader Flex White ",12,12,1,25,3125,4225,Ubiquiti,https://scoop.co.za/download/marketing/images/UA-G3FLEX-W.jpg
UA-G3PRO-B,"Ubiquiti UniFi Access Reader Pro Black ",6,23,2,31,5995,8125,Ubiquiti,https://scoop.co.za/download/marketing/images/UA-G3PRO-B.jpg
UA-G3SK-PRO,"Ubiquiti UniFi Access G3 Starter Kit Pro with Hub & 2x Readers ",3,1,1,5,9195,12450,Ubiquiti,https://scoop.co.za/download/marketing/images/UA-G3SK-PRO.jpg
UA-HUB-DM,"Ubiquiti UniFi Access Door Hub Mini 2x Input, 1x Relay ",7,12,3,22,1825,2475,Ubiquiti,https://scoop.co.za/download/marketing/images/UA-HUB-DM.jpg
UA-HUB-DOOR,"Ubiquiti UniFi Access Door Hub 4x Input, 4x Relay  ",12,17,2,31,3495,4775,Ubiquiti,https://scoop.co.za/download/marketing/images/UA-HUB-DOOR.jpg
UA-HUB-GATE,"Ubiquiti UniFi Access Gate Hub 5x Input, 4x Relay ",2,0,1,3,4650,6295,Ubiquiti,https://scoop.co.za/download/marketing/images/UA-HUB-GATE.jpg
UA-RESCUE,"Ubiquiti UniFi Access Rescue Manual Key Switch ",2,9,0,11,895,1215,Ubiquiti,https://scoop.co.za/download/marketing/images/UA-RESCUE.jpg
UA-ULTRA,"Ubiquiti UniFi Access Ultra Reader and Hub ",7,3,2,12,1695,2295,Ubiquiti,https://scoop.co.za/download/marketing/images/UA-ULTRA.jpg
UACC-AIPORT-RM,"Ubiquiti AI Port Rack-Mount Kit  ",3,6,1,10,1425,1925,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-AIPORT-RM.jpg
UACC-DAC-0.5M,"Ubiquiti UniFi 10Gbps Direct Attach 0.5M Cable ",0,12,0,12,275,375,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-DAC-0.5M.jpg
UACC-G5PTZ-CMW,"Ubiquiti UniFi Protect G5/G6 White PTZ Corner Mount ",13,32,3,48,350,475,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-G5PTZ-CMW.jpg
UACC-G5TAM,"Ubiquiti UniFi Protect G5 Turret Ultra Arm Mount ",0,0,0,0,895,1225,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-G5TAM.jpg
UACC-G6PTZ-ICMW,"Ubiquiti UniFi Protect G6 PTZ White In-Ceiling Mount",2,3,1,6,675,925,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-G6PTZ-ICMW.jpg
UACC-HDD16E,"Ubiquiti Enterprise 3.5"" 16TB Hard Drive ",0,0,0,0,6950,9425,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-HDD16E.jpg
UACC-HDD24E,"Ubiquiti Enterprise 3.5"" 24TB Hard Drive ",0,0,0,0,9850,13325,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-HDD24E.jpg
UACC-HDD4S,"Ubiquiti Standard 3.5"" SATA 4TB Hard Drive",13,43,0,56,2275,3075,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-HDD4S.jpg
UACC-HDD8E,"Ubiquiti Enterprise 3.5"" 8TB Hard Drive ",0,0,0,0,4750,6425,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-HDD8E.jpg
UACC-INS-4.5M,"Ubiquiti UniFi Protect G4/G6 Instant PoE to USB-C Cable 4.5M ",0,0,1,1,625,850,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-INS-4.5M.jpg
UACC-JUNCTION,"Ubiquiti UniFi Indoor / Outdoor Junction Utility Enclosure ",0,0,0,0,2595,3525,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-JUNCTION.jpg
UACC-LRE,"Ubiquiti Long Range PoE Repeater and Surge Protector ",1,0,0,1,525,715,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-LRE.jpg
UACC-MAX16RM,"Ubiquiti UniFi Pro Max 16 Rack-Mount Kit ",0,0,0,0,875,1195,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-MAX16RM.jpg
UACC-MM10G,"Ubiquiti Multi Mode 10G LC SFP+ 850nm 300m ",32,33,27,92,725,995,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-MM10G.jpg
UACC-MM1G,"Ubiquiti Multi Mode 1.25G LC SFP 850nm 550m ",17,27,8,52,315,430,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-MM1G.jpg
UACC-PM,"Ubiquiti Access Point Pro Arm Mount for UniFi Pro AP's ",2,0,0,2,450,595,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-PM.jpg
UACC-PSU-210W,"Ubiquiti 54V 210W AC Power Supply ",29,85,8,122,1475,1995,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-PSU-210W.jpg
UACC-RJ45-COVER,"Ubiquiti RJ45 Dust Cover 24-Pack",13,45,3,61,350,475,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-RJ45-COVER.jpg
UACC-RJ451G,"Ubiquiti 1.25G SFP to RJ45 Gigabit Ethernet Module ",5,10,5,20,315,450,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-RJ451G.jpg
UACC-SM10G,"Ubiquiti Single Mode 10G LC SFP+  1310nm 10km ",46,91,16,153,1595,2145,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-SM10G.jpg
UACC-SM1GS,"Ubiquiti Single Mode 1.25G LC Bi-Directional SFP 3km ",121,279,27,427,425,575,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-SM1GS.jpg
UACC-SSD-TRAY,"Ubiquiti UniFi M.2 SSD Tray for UCG Fiber ",13,61,2,76,325,450,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-SSD-TRAY.jpg
UACC-TPC-1.5M,"Ubiquiti UISP Power TransPort Cable 1.5M ",8,1,2,11,285,385,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-TPC-1.5M.jpg
UACC-TPC-20M,"Ubiquiti UISP Power TransPort Cable 20M ",1,0,1,2,1395,1885,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-TPC-20M.jpg
UACC-TPC-30M,"Ubiquiti UISP Power TransPort Cable 30M ",2,2,1,5,2075,2815,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-TPC-30M.jpg
UACC-TPC-50M,"Ubiquiti UISP Power TransPort Cable 50M ",2,1,2,5,3495,4730,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-TPC-50M.jpg
UACC-UKPA,"Ubiquiti UniFi Panel Antenna for Swiss Army Knife Ultra ",5,25,2,32,695,950,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-UKPA.jpg
UACC-USB1M-B,"Ubiquiti USB-C Cable with Charge Display Black ",10,20,2,32,525,715,Ubiquiti,https://scoop.co.za/download/marketing/images/UACC-USB1M-B.jpg
UAP-ACM,"Ubiquiti UniFi AC Mesh Outdoor Dual Band AP ",129,259,52,440,1595,2175,Ubiquiti,https://scoop.co.za/download/marketing/images/UAP-ACM.jpg
UB-AM,"Ubiquiti Universal Antenna Mount ",332,964,199,1495,125,175,Ubiquiti,https://scoop.co.za/download/marketing/images/UB-AM.jpg
UB-ETHSP,"Ubiquiti Grounded Ethernet Surge Protector ",127,852,178,1157,215,295,Ubiquiti,https://scoop.co.za/download/marketing/images/UB-ETHSP.jpg
UB-QM,"Ubiquiti Toolless Quick-Mount for Ubiquiti CPE's ",0,0,0,0,375,515,Ubiquiti,https://scoop.co.za/download/marketing/images/UB-QM.jpg
UBOLT,"U-Bolt 50mm Mild Steel",697,2273,221,3191,9.5,13,"Locally Sourced",https://scoop.co.za/download/marketing/images/UBOLT.jpg
UC-CAST-LITE,"Ubiquiti UniFi Dual Band WiFi 6 HDMI Display Cast Lite ",19,20,3,42,3075,4195,Ubiquiti,https://scoop.co.za/download/marketing/images/UC-CAST-LITE.jpg
UCG-FIBER,"Ubiquiti 10G Multi-WAN UniFi Cloud Gateway Fiber without M.2 SSD Tray  ",17,34,3,54,4850,6575,Ubiquiti,https://scoop.co.za/download/marketing/images/UCG-FIBER.jpg
UCG-FIBER-TRAY,"Ubiquiti 10G Multi-WAN UniFi Cloud Gateway Fiber with M.2 SSD Tray ",4,6,1,11,5325,7195,Ubiquiti,https://scoop.co.za/download/marketing/images/UCG-FIBER-TRAY.jpg
UCG-MAX,"Ubiquiti 2.5Gbps Multi-WAN UniFi Cloud Gateway Max ",17,57,0,74,4895,6625,Ubiquiti,https://scoop.co.za/download/marketing/images/UCG-MAX.jpg
UCG-ULTRA,"Ubiquiti Multi-WAN UniFi Cloud Gateway Ultra ",437,1247,89,1773,1495,2025,Ubiquiti,https://scoop.co.za/download/marketing/images/UCG-ULTRA.jpg
UCK-G2-SSD,"Ubiquiti UniFi CloudKey+ Console with 1TB SSD ",12,31,3,46,4495,6095,Ubiquiti,https://scoop.co.za/download/marketing/images/UCK-G2-SSD.jpg
UDB,"Ubiquiti UniFi Device Bridge WiFi Bridging PoE Adapter ",5,33,2,40,1695,2295,Ubiquiti,https://scoop.co.za/download/marketing/images/UDB.jpg
UDB-IOT,"Ubiquiti UniFi WiFi Device Bridge for IoT",8,20,4,32,895,1225,Ubiquiti,https://scoop.co.za/download/marketing/images/UDB-IOT.jpg
UDB-PRO,"Ubiquiti UniFi Device Bridge Pro with PoE Input and PoE Output ",0,2,2,4,3595,4875,Ubiquiti,https://scoop.co.za/download/marketing/images/UDB-PRO.jpg
UDB-PRO-SEC,"Ubiquiti UniFi Device Bridge Pro 5GHz 17dBi 90° Sector ",1,1,1,3,3695,4995,Ubiquiti,https://scoop.co.za/download/marketing/images/UDB-PRO-SEC.jpg
UDB-SWITCH,"Ubiquiti UniFi Device Bridge WiFi 7 Switch 35W 7x 2.5G PoE 1x 10G PoE ",18,75,10,103,4995,6775,Ubiquiti,https://scoop.co.za/download/marketing/images/UDB-SWITCH.jpg
UDM-PRO,"Ubiquiti UniFi Dream Machine Pro 9 Port Gigabit with 2SFP+ ",26,33,1,60,6895,9425,Ubiquiti,https://scoop.co.za/download/marketing/images/UDM-PRO.jpg
UDM-PRO-MAX,"Ubiquiti UniFi Dream Machine Pro Max 8 Port Gigabit 1x2.5G 2SFP+ ",16,13,3,32,10395,14075,Ubiquiti,https://scoop.co.za/download/marketing/images/UDM-PRO-MAX.jpg
UDM-SE,"Ubiquiti UniFi Dream Machine Special Edition 8 PoE 1SFP+ ",11,23,1,35,8950,12095,Ubiquiti,https://scoop.co.za/download/marketing/images/UDM-SE.jpg
UDR7,"Ubiquiti UniFi Dream Router 7 Tri-Band Cloud Gateway ",0,0,0,0,4895,6625,Ubiquiti,https://scoop.co.za/download/marketing/images/UDR7.jpg
UF-GPC,"Ubiquiti GPON C+ SC/UPC 20km SFP Module ",7,33,2,42,1395,1895,Ubiquiti,https://scoop.co.za/download/marketing/images/UF-GPC.jpg
UF-OLT-4,"Ubiquiti UISP Fiber GPON OLT 4 PON Ports 1SFP+ ",0,0,0,0,18095,24495,Ubiquiti,https://scoop.co.za/download/marketing/images/UF-OLT-4.jpg
UF-OLT-8,"Ubiquiti UISP Fiber GPON OLT 8 PON Ports 2SFP+ ",1,5,2,8,25595,34675,Ubiquiti,https://scoop.co.za/download/marketing/images/UF-OLT-8.jpg
UF-WIFI,"Ubiquiti UISP Fiber WiFi GPON CPE with 4 Gigabit Ports ",30,70,6,106,1250,1695,Ubiquiti,https://scoop.co.za/download/marketing/images/UF-WIFI.jpg
UF-WIFI6,"Ubiquiti UISP Fiber WiFi 6 GPON CPE with 4 Gigabit Ports ",14,51,0,65,1775,2395,Ubiquiti,https://scoop.co.za/download/marketing/images/UF-WIFI6.jpg
UFL-SMAF,"U.FL to SMA Female Bulkhead",40,53,6,99,35,48,"Locally Sourced",https://scoop.co.za/download/marketing/images/UFL-SMAF.jpg
UI-CS1Y,"Ubiquiti UniFi CyberSecure 1 Year Subscription",2,6,0,8,1495,1725,Ubiquiti,https://scoop.co.za/download/marketing/images/UI-CS1Y.jpg
UISP-BOX,"Ubiquiti UISP IPX6 Enclosure for UISP-R and UISP-S ",2,0,0,2,1095,1495,Ubiquiti,https://scoop.co.za/download/marketing/images/UISP-BOX.jpg
UISP-CON,"Ubiquiti UISP Console 9 Port Gigabit 2SFP+ ",6,14,2,22,4995,6775,Ubiquiti,https://scoop.co.za/download/marketing/images/UISP-CON.jpg
UISP-DISH,"Ubiquiti UISP airMAX 5GHz 30dBi Dish Antenna ",0,0,0,0,3295,4475,Ubiquiti,https://scoop.co.za/download/marketing/images/UISP-DISH.jpg
UISP-DISH-MINI,"Ubiquiti UISP Dish Mini 5GHz-7GHz 26dBi Antenna ",0,0,0,0,2895,3925,Ubiquiti,https://scoop.co.za/download/marketing/images/UISP-DISH-MINI.jpg
UISP-HORN,"Ubiquiti UISP 5GHz 19dBi 30° Horn Antenna ",0,0,0,0,3295,4475,Ubiquiti,https://scoop.co.za/download/marketing/images/UISP-HORN.jpg
UISP-R,"Ubiquiti UISP Router 8 Port Gigabit PoE 110W 1SFP ",6,10,2,18,2025,2750,Ubiquiti,https://scoop.co.za/download/marketing/images/UISP-R.jpg
UISP-RPRO,"Ubiquiti UISP Router Pro 9 Port Gigabit 4SFP+ ",1,2,0,3,7295,9875,Ubiquiti,https://scoop.co.za/download/marketing/images/UISP-RPRO.jpg
UISP-S,"Ubiquiti UISP Switch 8 Port Gigabit PoE 110W 1SFP ",17,31,6,54,2025,2750,Ubiquiti,https://scoop.co.za/download/marketing/images/UISP-S.jpg
UISP-SPLUS,"Ubiquiti UISP Switch Plus 4 Port 2.5Gbps PoE 4xSFP+ 160W ",0,0,0,0,7650,10350,Ubiquiti,https://scoop.co.za/download/marketing/images/UISP-SPLUS.jpg
UISP-SPRO,"Ubiquiti UISP Switch 24 Port Gigabit 16 PoE 220W 4SFP+ ",0,0,0,0,7295,9875,Ubiquiti,https://scoop.co.za/download/marketing/images/UISP-SPRO.jpg
UK-ULTRA,"Ubiquiti UniFi Swiss Army Knife Ultra WiFi 5 AP ",11,5,6,22,1395,1895,Ubiquiti,https://scoop.co.za/download/marketing/images/UK-ULTRA.jpg
UMR-IND,"Ubiquiti UniFi Mobile Industrial Router ",0,0,0,0,3295,4475,Ubiquiti,https://scoop.co.za/download/marketing/images/UMR-IND.jpg
UMR-ULTRA,"Ubiquiti UniFi LTE4 Managed WiFi 4 Mobile Router Ultra ",0,0,2,2,1675,2275,Ubiquiti,https://scoop.co.za/download/marketing/images/UMR-ULTRA.jpg
UNAS-2-B,"Ubiquiti UniFi Black UNAS 2.5Gbps Ethernet 2x 3.5"" HDD bays ",7,12,0,19,3895,5275,Ubiquiti,https://scoop.co.za/download/marketing/images/UNAS-2-B.jpg
UNAS-2-W,"Ubiquiti UniFi White UNAS 2.5Gbps Ethernet 2x 3.5"" HDD bays ",6,22,2,30,3895,5275,Ubiquiti,https://scoop.co.za/download/marketing/images/UNAS-2-W.jpg
UNAS-PRO,"Ubiquiti UniFi NAS Pro 2U 7 Drive Bays ",2,12,3,17,9095,12295,Ubiquiti,https://scoop.co.za/download/marketing/images/UNAS-PRO.jpg
UNAS-PRO4,"Ubiquiti UniFi NAS Pro 4 1U 4 Drive Bays 2 NVMe Slots and 1Gbps Ethernet",0,0,0,0,8350,11295,Ubiquiti,https://scoop.co.za/download/marketing/images/UNAS-PRO4.jpg
UNAS-PRO8,"Ubiquiti UniFi NAS Pro 8 2U 8 Drive Bays 2 NVMe Slots and 10Gbps Ethernet ",0,0,0,0,14095,19075,Ubiquiti,https://scoop.co.za/download/marketing/images/UNAS-PRO8.jpg
UNVR,"Ubiquiti UniFi Protect 4 Bay 1SFP+ Gigabit Ethernet NVR ",7,12,3,22,5895,7975,Ubiquiti,https://scoop.co.za/download/marketing/images/UNVR.jpg
UNVR-INSTANT,"Ubiquiti UniFi Protect Network Video Recorder Instant ",1,12,1,14,3850,5195,Ubiquiti,https://scoop.co.za/download/marketing/images/UNVR-INSTANT.jpg
UNVR-PRO,"Ubiquiti UniFi Protect 7 Bay 1SFP+ Gigabit Ethernet NVR Pro",1,1,0,2,9895,13395,Ubiquiti,https://scoop.co.za/download/marketing/images/UNVR-PRO.jpg
UP-AI-PORT,"Ubiquiti UniFi Protect AI Port ",8,5,3,16,3395,4595,Ubiquiti,https://scoop.co.za/download/marketing/images/UP-AI-PORT.jpg
UP-AI-SPEAKER,"Ubiquiti UniFi AI Horn Speaker 120dB ",8,12,2,22,5695,7695,Ubiquiti,https://scoop.co.za/download/marketing/images/UP-AI-SPEAKER.jpg
UP-SIREN-POE,"Ubiquiti UniFi Protect 110dB PoE Siren ",9,22,2,33,1825,2475,Ubiquiti,https://scoop.co.za/download/marketing/images/UP-SIREN-POE.jpg
UPL-AMP-B,"Ubiquiti UniFi PowerAmp Black ",1,2,0,3,12195,16495,Ubiquiti,https://scoop.co.za/download/marketing/images/UPL-AMP-B.jpg
UPL-PORT-B,"Ubiquiti UniFi PoE Audio Port Audio Streamer ",2,7,2,11,3495,4775,Ubiquiti,https://scoop.co.za/download/marketing/images/UPL-PORT-B.jpg
UPOE24-12W,"Ubiquiti Gigabit PoE Adapter 24V 12W with No Cable ",110,84,6,200,175,250,Ubiquiti,https://scoop.co.za/download/marketing/images/UPOE24-12W.jpg
UPOE24-24W,"Ubiquiti Gigabit PoE Adapter 24V 24W with No Cable ",76,296,35,407,195,275,Ubiquiti,https://scoop.co.za/download/marketing/images/UPOE24-24W.jpg
UPOE24-7W,"Ubiquiti Gigabit PoE Adapter 24V 7W with No Cable ",104,88,47,239,125,175,Ubiquiti,https://scoop.co.za/download/marketing/images/UPOE24-7W.jpg
UPOE48-15W,"Ubiquiti Gigabit PoE Adapter 48V 15W with No Cable ",182,421,104,707,150,215,Ubiquiti,https://scoop.co.za/download/marketing/images/UPOE48-15W.jpg
UPOE48-30W,"Ubiquiti Gigabit PoE Adapter 48V 30W with No Cable ",39,0,72,111,295,395,Ubiquiti,https://scoop.co.za/download/marketing/images/UPOE48-30W.jpg
UPOE48-30W-2G,"Ubiquiti 2.5Gbps 48V 30W PoE Adapter with No Cable ",16,77,4,97,350,475,Ubiquiti,https://scoop.co.za/download/marketing/images/UPOE48-30W-2G.jpg
UPOE48-60W,"Ubiquiti Gigabit PoE Adapter 48V 60W with No Cable ",19,28,12,59,525,750,Ubiquiti,https://scoop.co.za/download/marketing/images/UPOE48-60W.jpg
UPOE54-60W-10G,"Ubiquiti 10Gbps 54V 60W PoE Adapter with No Cable ",11,40,5,56,725,995,Ubiquiti,https://scoop.co.za/download/marketing/images/UPOE54-60W-10G.jpg
UPS-2U,"Ubiquiti UniFi UPS 2U 8 Outlet 1000W ",3,31,3,37,5295,7175,Ubiquiti,https://scoop.co.za/download/marketing/images/UPS-2U.jpg
UPS-TOWER,"Ubiquiti UniFi UPS Tower 10 Outlet 600W ",5,4,2,11,3025,4095,Ubiquiti,https://scoop.co.za/download/marketing/images/UPS-TOWER.jpg
USL-ANT,"Ubiquiti UniFi SuperLink High-Gain Antenna with 1M Cable",0,0,0,0,875,1195,Ubiquiti,https://scoop.co.za/download/marketing/images/USL-ANT.jpg
USL-ENTRY,"Ubiquiti UniFi SuperLink Entry Sensor ",1,0,0,1,695,950,Ubiquiti,https://scoop.co.za/download/marketing/images/USL-ENTRY.jpg
USL-ENVIRO,"Ubiquiti UniFi SuperLink Environmental Sensor ",12,40,2,54,850,1150,Ubiquiti,https://scoop.co.za/download/marketing/images/USL-ENVIRO.jpg
USL-GATEWAY,"Ubiquiti UniFi SuperLink Long Range Gateway for Protect Sensors ",0,0,0,0,2395,3250,Ubiquiti,https://scoop.co.za/download/marketing/images/USL-GATEWAY.jpg
USL-SIREN,"Ubiquiti UniFi SuperLink 110dB Siren",0,0,0,0,1825,2475,Ubiquiti,https://scoop.co.za/download/marketing/images/USL-SIREN.jpg
USW-16P,"Ubiquiti UniFi Switch 16 Port Gigabit 8PoE 42W 2SFP ",17,53,4,74,5295,7175,Ubiquiti,https://scoop.co.za/download/marketing/images/USW-16P.jpg
USW-24,"Ubiquiti UniFi Switch 24 Port Gigabit 2SFP ",31,80,15,126,3995,5395,Ubiquiti,https://scoop.co.za/download/marketing/images/USW-24.jpg
USW-24P,"Ubiquiti UniFi Switch 24 Port Gigabit 16PoE 95W 2SFP ",22,116,11,149,6650,8995,Ubiquiti,https://scoop.co.za/download/marketing/images/USW-24P.jpg
USW-48,"Ubiquiti UniFi Switch 48 Port Gigabit 4SFP ",3,8,2,13,6995,9475,Ubiquiti,https://scoop.co.za/download/marketing/images/USW-48.jpg
USW-48P,"Ubiquiti UniFi Switch 48 Port Gigabit 32PoE 195W 4SFP ",18,22,9,49,10295,13975,Ubiquiti,https://scoop.co.za/download/marketing/images/USW-48P.jpg
USW-5FLEX,"Ubiquiti UniFi Flex Switch 5 Port Gigabit 1PoE In 4PoE Out ",20,76,5,101,1775,2395,Ubiquiti,https://scoop.co.za/download/marketing/images/USW-5FLEX.jpg
USW-5FLEX-2.5G,"Ubiquiti UniFi Flex Mini 2.5Gbps 5 Port Switch with PoE Input ",10,8,1,19,915,1250,Ubiquiti,https://scoop.co.za/download/marketing/images/USW-5FLEX-2.5G.jpg
USW-5FLEXMINI,"Ubiquiti UniFi Flex Mini 5 Port Gigabit 1PoE Input ",83,137,10,230,550,750,Ubiquiti,https://scoop.co.za/download/marketing/images/USW-5FLEXMINI.jpg
USW-8FLEX-2.5G,"Ubiquiti UniFi Flex 2.5G 8 Port 2.5G with 10G Combo Uplink ",3,11,0,14,2750,3725,Ubiquiti,https://scoop.co.za/download/marketing/images/USW-8FLEX-2.5G.jpg
USW-8FLEX-2.5GP,"Ubiquiti UniFi Flex 2.5G PoE 8 Port PoE with 10G Combo Uplink ",4,19,5,28,3495,4775,Ubiquiti,https://scoop.co.za/download/marketing/images/USW-8FLEX-2.5GP.jpg
USW-AGG,"Ubiquiti UniFi Aggregation Switch 8SFP+ ",10,20,4,34,4675,6325,Ubiquiti,https://scoop.co.za/download/marketing/images/USW-AGG.jpg
USW-E24XG,"Ubiquiti UniFi Enterprise Switch 24 Port 10Gbps 2 SFP28 ",0,0,0,0,22495,30450,Ubiquiti,https://scoop.co.za/download/marketing/images/USW-E24XG.jpg
USW-FLEXU,"Ubiquiti UniFi Flex Switch Utility Outdoor Enclosure ",25,35,0,60,850,1150,Ubiquiti,https://scoop.co.za/download/marketing/images/USW-FLEXU.jpg
USW-LITE16P,"Ubiquiti UniFi Switch Lite 16 Port Gigabit 8PoE 45W ",24,43,7,74,3550,4825,Ubiquiti,https://scoop.co.za/download/marketing/images/USW-LITE16P.jpg
